,Tempo
267,1.786912202835083
268,1.9648537635803223
269,1.7952468395233154
270,1.7833898067474365
271,1.81661057472229
272,1.8534998893737793
273,1.836949348449707
274,1.9283397197723389
275,1.839895486831665
276,1.816586971282959
277,1.8479373455047607
278,1.9401638507843018
279,1.8973145484924316
280,1.9414403438568115
281,1.9217138290405273
282,1.8833189010620117
283,1.993656873703003
284,1.8965635299682617
285,1.9106929302215576
286,1.9295661449432373
287,2.025552749633789
288,2.0210564136505127
289,1.9576008319854736
290,1.9655287265777588
291,2.027446746826172
292,1.9988059997558594
293,1.9493110179901123
294,2.0042922496795654
295,1.967994213104248
296,1.9835708141326904
297,1.9610388278961182
298,2.152261734008789
299,2.004422903060913
300,2.007899045944214
301,2.0435543060302734
302,2.0335230827331543
303,2.04304838180542
304,2.113152503967285
305,2.09083890914917
306,2.033599853515625
307,2.1622540950775146
308,2.090543031692505
309,2.0735907554626465
310,2.2162699699401855
311,2.1064023971557617
312,2.1137096881866455
313,2.1214208602905273
314,2.0828869342803955
315,2.4196670055389404
316,2.0063040256500244
317,2.0288965702056885
318,2.043936252593994
319,2.0669565200805664
320,2.126748561859131
321,2.1998536586761475
322,2.2628672122955322
323,2.1403069496154785
324,2.1952714920043945
325,2.141781806945801
326,2.2943103313446045
327,2.3789498805999756
328,2.093447685241699
329,2.086345911026001
330,2.115849733352661
331,2.1848459243774414
332,2.17769718170166
333,2.1423850059509277
334,2.1970808506011963
335,2.190561294555664
336,2.275740146636963
337,2.2792069911956787
338,2.1547205448150635
339,2.149458885192871
340,2.1920084953308105
341,2.190207004547119
342,2.165268898010254
343,2.2682013511657715
344,2.197179079055786
345,2.215916633605957
346,2.1921494007110596
347,2.203273296356201
348,2.323326587677002
349,2.186790943145752
350,2.345822811126709
351,2.233104944229126
352,2.2670657634735107
353,2.2632055282592773
354,2.2840843200683594
355,2.3656816482543945
356,2.2685706615448
357,2.2948551177978516
358,2.292283058166504
359,2.502387523651123
360,2.367663621902466
361,2.363541603088379
362,2.356110095977783
363,2.3670589923858643
364,2.4199633598327637
365,2.3421287536621094
366,2.442028284072876
367,2.3888349533081055
368,2.331211566925049
369,2.342489004135132
370,2.271822690963745
371,2.357776165008545
372,2.3388445377349854
373,2.2922284603118896
374,2.4347736835479736
375,2.2934606075286865
376,2.051420211791992
